iter	RMSE
580	0.3219284653
581	0.3214833707
582	0.3210904486
583	0.320731075
584	0.3203357161
585	0.3198993859
586	0.3195175262
587	0.3191089085
588	0.3188513346
589	0.3184170338
590	0.3180736823
591	0.3176367581
592	0.3172296602
593	0.3168654438
594	0.3165118205
595	0.3160996273
596	0.3156826797
597	0.3153458423
598	0.3149514061
599	0.3145752691
600	0.3141656468
601	0.3137687428
602	0.3133913516
603	0.3131256567
604	0.3127342786
605	0.31234792
606	0.311973286
607	0.3116218484
608	0.3113063042
609	0.3109259895
610	0.3105615769
611	0.310210305
612	0.3099367036
613	0.3098091933
614	0.3094988449
615	0.3091392192
616	0.3088445577
617	0.308579556
618	0.3082039399
619	0.3078450938
620	0.307541189
621	0.3071945776
622	0.3069362478
623	0.3067145386
624	0.3064036759
625	0.3060984541
626	0.3058974803
627	0.3056240075
628	0.3054318183
629	0.3050945691
630	0.3047880846
631	0.3044226031
632	0.3041049752
633	0.3037896529
634	0.3035721971
635	0.3032603197
636	0.3029347922
637	0.3026082007
638	0.3022817393
639	0.3020150524
640	0.3017464368
641	0.301426628
642	0.3011676152
643	0.3008319683
644	0.3005270077
645	0.3002494036
646	0.3000843839
647	0.2997964031
648	0.2995380397
649	0.2992542186
650	0.2991694829
651	0.2988928497
652	0.2987100722
653	0.2985372008
654	0.2983961369
655	0.298166724
656	0.2979540501
657	0.2976826742
658	0.2974041295
659	0.297174951
660	0.2969307217
661	0.2967018997
662	0.2964737544
663	0.296197898
664	0.2959386119
665	0.2957683968
666	0.2954886487
667	0.295452251
668	0.2951721546
669	0.2948954344
670	0.2946286467
671	0.2943789335
672	0.2941533253
673	0.2939579379
674	0.2937071119
675	0.2934649799
676	0.2932879531
677	0.2931386143
678	0.2928842885
679	0.2926795251
680	0.2924585741
681	0.2922288053
682	0.2919680265
683	0.2918004857
684	0.2915823058
685	0.2914423253
686	0.291230103
687	0.2910361383
688	0.2908078158
689	0.2905704091
690	0.2903439129
691	0.2901757987
692	0.2899522775
693	0.2897246552
694	0.2894859079
695	0.2892747569
696	0.2891752191
697	0.2889513824
698	0.2887262877
699	0.2885346764
700	0.2883989944
701	0.2881819095
702	0.2879699501
703	0.2878642173
704	0.2876558157
705	0.2874291129
706	0.2872461949
707	0.2870884787
708	0.2868926693
709	0.2866701144
710	0.2864733744
711	0.2862858824
712	0.286165513
713	0.2859842154
714	0.2858142639
715	0.285726253
716	0.2855285943
717	0.2853647368
718	0.2853289342
719	0.2851355798
720	0.2849735722
721	0.2848152742
722	0.2846082341
723	0.2844006524
724	0.2842234263
725	0.2842104787
726	0.2840212719
727	0.2838923526
728	0.2837046515
729	0.2835229323
730	0.2833264742
731	0.2831445577
732	0.2830675601
733	0.2828988037
734	0.2828808702
735	0.282704472
736	0.2825581809
737	0.282382502
738	0.2822084339
739	0.2820251785
740	0.2818502223
741	0.28168733
742	0.2815680777
743	0.2814387834
744	0.2813501078
745	0.2811899932
746	0.2810256294
747	0.280867117
748	0.280704785
749	0.2805769512
750	0.2804703649
751	0.2803399104
752	0.2802029827
753	0.2800633528
754	0.2799407041
755	0.2798932354
756	0.2798273901
757	0.2796653058
758	0.279518307
759	0.2793921006
760	0.2792426708
761	0.2791711158
762	0.2790913552
763	0.2789363098
764	0.2789234951
765	0.2787559951
766	0.2786531521
767	0.2785021784
768	0.2783957772
769	0.2782843056
770	0.2781275132
771	0.2780491018
772	0.2779064398
773	0.2777556197
774	0.2776485661
775	0.2775286005
776	0.2773848619
777	0.2772362348
778	0.277084382
779	0.2769380196
780	0.2767901434
781	0.2766775677
782	0.2765549306
783	0.2764194547
784	0.2762989987
785	0.2762058596
786	0.2760995075
787	0.2760081184
788	0.2758694924
789	0.2757660735
790	0.2756951737
791	0.2756497685
792	0.2755525173
793	0.2754588413
794	0.2753312445
795	0.2752075285
796	0.2751473985
797	0.2750940884
798	0.2750474202
799	0.2749532064
800	0.2748553218
801	0.2747698057
802	0.274680176
803	0.2745656728
804	0.2744828506
805	0.2744117767
806	0.274358548
807	0.2742758472
808	0.2741781976
809	0.274081995
810	0.2739893195
811	0.2738719828
812	0.2737668753
813	0.2736549691
814	0.2735310853
815	0.2734099059
816	0.2733204322
817	0.2733091315
818	0.2732180871
819	0.2731013678
820	0.2730243529
821	0.2729647306
822	0.2729547544
823	0.2728781797
824	0.2728127807
825	0.2727016531
826	0.2725745179
827	0.2724561588
828	0.2723441155
829	0.2722791537
830	0.2721552357
831	0.2721224552
832	0.2720823807
833	0.2719738162
834	0.2718915988
835	0.2717787302
836	0.2716975197
837	0.2715861431
838	0.2715097296
839	0.2714018432
840	0.2713251371
841	0.2712366046
842	0.2711995092
843	0.2711257392
844	0.2711201225
845	0.2710191463
846	0.2709586507
847	0.2708428948
848	0.2707400379
849	0.2706386511
850	0.2705307381
851	0.2704377702
852	0.2703647852
853	0.2702542014
854	0.2702035218
855	0.2701013081
856	0.2700080792
857	0.2699051749
858	0.269810207
859	0.2697300588
860	0.2696585953
861	0.2695987268
862	0.2695404036
863	0.2694795003
864	0.2694159705
865	0.2693424305
866	0.26927632
867	0.2692162275
868	0.2691256969
869	0.2690692852
870	0.2690090857
871	0.2689468725
872	0.2688744681
873	0.2687836364
874	0.2687221674
875	0.2686950798
876	0.2685983696
877	0.2685638872
878	0.2685509957
879	0.2684588579
880	0.268396199
881	0.2683092584
882	0.2682355114
883	0.2681907654
884	0.2681474977
885	0.2680799965
886	0.2680232528
887	0.2679338058
888	0.2678629424
889	0.2677771173
890	0.2676920714
891	0.267611357
892	0.2675465252
893	0.2675147755
894	0.267469576
895	0.2674309455
896	0.2673438085
897	0.2672656325
898	0.2671781425
899	0.2671248148
900	0.2670526339
901	0.2670141706
902	0.2669660985
903	0.2668752857
904	0.2668070068
905	0.2667221097
906	0.2666944775
907	0.2666084812
908	0.2665252955
909	0.2664456035
910	0.2663803739
911	0.2663443848
912	0.2662809721
913	0.2662165846
914	0.266184104
915	0.266164389
916	0.2661084836
917	0.2660571658
918	0.2660316665
919	0.265977518
920	0.265955285
921	0.2659347351
922	0.265872182
923	0.2658366391
924	0.2657765045
925	0.2657232566
926	0.265653828
927	0.2656410993
928	0.2655766141
929	0.2655584735
930	0.265482795
931	0.2654318301
932	0.2653750553
933	0.2653284845
934	0.2653215299
935	0.265284463
936	0.2652307888
937	0.2651787291
938	0.2651235947
939	0.2650713274
940	0.2650253754
941	0.2649741092
942	0.2649701372
943	0.2649006228
944	0.2648371015
945	0.2647843452
946	0.2647238126
947	0.2646924925
948	0.2646823998
949	0.2646338864
950	0.2646096833
951	0.2645821839
952	0.2645237669
953	0.2644498562
954	0.2643907871
955	0.2643375067
956	0.2642784393
957	0.264275535
958	0.2642296952
959	0.2641868196
960	0.264119171
961	0.2640659004
962	0.2640262473
963	0.2639838739
964	0.263918282
965	0.2638897034
966	0.2638506687
967	0.2638252851
968	0.2637872992
969	0.2637468893
970	0.2637029801
971	0.2636469437
972	0.2635897247
973	0.2635248168
974	0.2634585604
975	0.2634198155
976	0.2634165544
977	0.2633981453
978	0.2633776249
979	0.2633337125
980	0.263309387
981	0.2632598448
982	0.2632040879
983	0.2631599301
984	0.2631567958
985	0.2631007165
986	0.2630727595
987	0.2630302605
988	0.2629787117
989	0.2629258709
990	0.2628702433
991	0.2628286614
992	0.2627669818
993	0.262742954
994	0.2627405189
995	0.2626887269
996	0.262645129
997	0.2625913707
998	0.262580021
999	0.2625549147
